"exp","Training","Testing","Analysis"
"exp001_01_IDVYEAR_LR","'HINTS_1'","'HINTS_2'","LR"
"exp001_01_IDVYEAR_RFC","'HINTS_1'","'HINTS_2'","RFC"
"exp001_01_IDVYEAR_FC","'HINTS_1'","'HINTS_2'","FC"
"exp001_01_IDVYEAR_LSTM","'HINTS_1'","'HINTS_2'","LSTM"
"exp001_01_IDVYEAR_GLV-LSTM","'HINTS_1'","'HINTS_2'","GLV-LSTM"
"exp001_01_IDVYEAR_GLV-FC","'HINTS_1'","'HINTS_2'","GLV-FC"
"exp001_02_IDVYEAR_LR","'HINTS_1','HINTS_2'","'HINTS_3'","LR"
"exp001_02_IDVYEAR_RFC","'HINTS_1','HINTS_2'","'HINTS_3'","RFC"
"exp001_02_IDVYEAR_FC","'HINTS_1','HINTS_2'","'HINTS_3'","FC"
"exp001_02_IDVYEAR_LSTM","'HINTS_1','HINTS_2'","'HINTS_3'","LSTM"
"exp001_02_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2'","'HINTS_3'","GLV-LSTM"
"exp001_02_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2'","'HINTS_3'","GLV-FC"
"exp001_03_IDVYEAR_LR","'HINTS_1','HINTS_2','HINTS_3'","'HINTS_PR'","LR"
"exp001_03_IDVYEAR_RFC","'HINTS_1','HINTS_2','HINTS_3'","'HINTS_PR'","RFC"
"exp001_03_IDVYEAR_FC","'HINTS_1','HINTS_2','HINTS_3'","'HINTS_PR'","FC"
"exp001_03_IDVYEAR_LSTM","'HINTS_1','HINTS_2','HINTS_3'","'HINTS_PR'","LSTM"
"exp001_03_IDVYEAR_GLV-LSTM","'HINTS_1','HINTS_2','HINTS_3'","'HINTS_PR'","GLV-LSTM"
"exp001_03_IDVYEAR_GLV-FC","'HINTS_1','HINTS_2','HINTS_3'","'HINTS_PR'","GLV-FC"
"exp001_04_IDVYEAR_LR","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR'","'HINTS_4c1'","LR"
"exp001_04_IDVYEAR_RFC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR'","'HINTS_4c1'","RFC"
"exp001_04_IDVYEAR_FC","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR'","'HINTS_4c1'","FC"
"exp001_04_IDVYEAR_LSTM","'HINTS_1','HINTS_2','HINTS_3','HINTS_PR'","'HINTS_4c1'","LSTM"
